ID,RefID,Amount,Currency,Date,Description
BK-1,REF-0001,23.05,INR,2023-10-02T10:00:00Z,Bank Credit
BK-2,REF-0002,89.87,INR,2023-10-03T10:00:00Z,Bank Credit
BK-3,REF-0003,36.68,INR,2023-10-04T10:00:00Z,Bank Credit
BK-4,REF-0004,47.50,INR,2023-10-05T10:00:00Z,Bank Credit
BK-5,REF-0005,54.23,INR,2023-10-06T10:00:00Z,Bank Credit
BK-6,REF-0006,73.45,INR,2023-10-07T10:00:00Z,Bank Credit
BK-7,REF-0007,23.57,INR,2023-10-08T10:00:00Z,Bank Credit
BK-8,REF-0008,91.76,INR,2023-10-09T10:00:00Z,Bank Credit
BK-9,REF-0009,81.28,INR,2023-10-10T10:00:00Z,Bank Credit
BK-10,REF-0010,46.43,INR,2023-10-11T10:00:00Z,Bank Credit
BK-11,REF-0011,99.29,INR,2023-10-12T10:00:00Z,Bank Credit
BK-12,REF-0012,39.67,INR,2023-10-13T10:00:00Z,Bank Credit
BK-13,REF-0013,58.15,INR,2023-10-14T10:00:00Z,Bank Credit
BK-14,REF-0014,68.28,INR,2023-10-15T10:00:00Z,Bank Credit
BK-15,REF-0015,26.52,INR,2023-10-16T10:00:00Z,Bank Credit
BK-16,REF-0016,66.58,INR,2023-10-17T10:00:00Z,Bank Credit
BK-17,REF-0017,40.57,INR,2023-10-18T10:00:00Z,Bank Credit
BK-18,REF-0018,66.01,INR,2023-10-21T10:00:00Z,Delayed Bank Credit
BK-19,REF-0019,95.35,INR,2023-10-22T10:00:00Z,Delayed Bank Credit
BK-20,REF-0020,95.04,INR,2023-10-21T10:00:00Z,Bank Credit
BK-21,REF-0021,90.82,INR,2023-10-29T10:00:00Z,Stale Bank Credit
BK-22,REF-0022,89.34,INR,2023-10-23T10:00:00Z,Bank Credit
BK-25,REF-0025,85.44,INR,2023-10-26T10:00:00Z,Bank Credit
